metric,value
total_return,0.1423718363750004
cagr,0.14331472920232202
max_drawdown,-0.20521429285480797
volatility,0.27964676230048086
sharpe,0.6328315057274676
calmar,0.6983662161568797
turnover,10.039355546614573
trade_count,24
win_rate,0.5384615384615384
profit_factor,1.6881073426526703
exposure,0.5525335393962724
unfilled_count,0
data_issue_count,0
