metric,value
total_return,-0.09836480003999992
cagr,-0.09894329246833244
max_drawdown,-0.3033539822044844
volatility,0.24113973048956527
sharpe,-0.32457639131347776
calmar,-0.32616447540694193
turnover,31.08044910318188
trade_count,120
win_rate,0.48333333333333334
profit_factor,0.6635999763798595
exposure,0.6918570676639072
unfilled_count,4
data_issue_count,0
